Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,371.149994,390.000000,371.149994,379.000000,377.373505,17954
2018-09-19,380.000000,389.000000,365.000000,370.200012,369.098236,9445
2018-09-21,376.799988,379.899994,325.000000,343.450012,342.427826,16805
2018-09-24,337.000000,348.700012,325.100006,331.250000,330.264130,13776
2018-09-25,330.100006,347.000000,322.200012,331.250000,330.264130,5484
2018-09-26,324.649994,348.500000,324.649994,331.299988,330.313965,6115
2018-09-27,333.000000,339.899994,323.850006,329.799988,328.818420,2496
2018-09-28,325.000000,330.000000,311.049988,317.100006,316.156250,5267
2018-10-01,297.000000,314.750000,295.000000,309.450012,308.529022,10913
2018-10-03,332.000000,332.000000,304.500000,312.200012,311.270844,8570
2018-10-04,303.000000,328.000000,291.000000,297.000000,296.116058,11292
2018-10-05,291.000000,314.549988,290.250000,292.000000,291.130951,3241
2018-10-08,295.500000,303.000000,280.700012,292.950012,292.078125,4592
